Limited tf.compat.v2.summary API due to missing TensorBoard installation.
Using SEED = 466
/home/xianlli/dataset/HSI/urban/Urban_corrected.mat
img shape: (150, 160, 162)
img_patches_nonzero: (12048, 7, 7, 162)
x_patches shape: (12048, 7, 7, 162), labels: [1 2 3 4 5 6 7]
constructing hypergraph...
construction completed. training clustering network...
epoch
epoch 276 ==> loss=9.566624
epoch 277 ==> loss=9.525484
epoch 278 ==> loss=9.484576
epoch 279 ==> loss=9.443862
epoch 280 ==> loss=9.403314
epoch 281 ==> loss=9.362992
epoch 282 ==> loss=9.322789
epoch 283 ==> loss=9.282792
epoch 284 ==> loss=9.243112
epoch 285 ==> loss=9.203524
epoch 286 ==> loss=9.164128
epoch 287 ==> loss=9.124834
epoch 288 ==> loss=9.085746
epoch 289 ==> loss=9.046822
epoch 290 ==> loss=9.008109
epoch 291 ==> loss=8.969521
epoch 292 ==> loss=8.931113
epoch 293 ==> loss=8.892875
epoch 294 ==> loss=8.854783
epoch 295 ==> loss=8.816826
epoch 296 ==> loss=8.779042
epoch 297 ==> loss=8.741468
epoch 298 ==> loss=8.704011
epoch 299 ==> loss=8.666793
epoch 300 ==> loss=8.629638
epoch 301 ==> loss=8.592676
epoch 302 ==> loss=8.555877
epoch 303 ==> loss=8.519318
epoch 304 ==> loss=8.482835
epoch 305 ==> loss=8.446553
epoch 306 ==> loss=8.410405
epoch 307 ==> loss=8.37443
epoch 308 ==> loss=8.338631
epoch 309 ==> loss=8.302991
epoch 310 ==> loss=8.2675085
epoch 311 ==> loss=8.23214
epoch 312 ==> loss=8.196949
epoch 313 ==> loss=8.161916
epoch 314 ==> loss=8.127031
epoch 315 ==> loss=8.092278
epoch 316 ==> loss=8.057688
epoch 317 ==> loss=8.02325
epoch 318 ==> loss=7.9889684
epoch 319 ==> loss=7.954799
epoch 320 ==> loss=7.9208226
epoch 321 ==> loss=7.8869457
epoch 322 ==> loss=7.853196
epoch 323 ==> loss=7.819658
epoch 324 ==> loss=7.786244
epoch 325 ==> loss=7.7530026
epoch 326 ==> loss=7.7199
epoch 327 ==> loss=7.6870184
