Limited tf.compat.v2.summary API due to missing TensorBoard installation.
Using SEED = 860
/home/xianlli/dataset/HSI/Houston/Houston_corrected.mat
img shape: (130, 130, 144)
img_patches_nonzero: (6104, 7, 7, 144)
x_patches shape: (6104, 7, 7, 144), labels: [1 2 3 4 5 6 7]
constructing hypergraph...
construction completed. training clustering network...
epoch
epoch 392 ==> loss=1.4863833
epoch 393 ==> loss=1.5081935
epoch 394 ==> loss=1.4070758
epoch 395 ==> loss=1.5323759
epoch 396 ==> loss=1.4398562
epoch 397 ==> loss=1.5353969
epoch 398 ==> loss=1.4661918
epoch 399 ==> loss=1.3725641
acc 0.737221494102228 nmi 0.7601901980086714 kappa 0.6746910927710656 ca [0.45901639 0.66743917 0.76164875 0.97204194 1.         0.15496368
 0.93333333]
running time 214.489
finish
